,Tag,question
2873,.net,controldestroyhandle call controldestroyhandle call controldestroyhandle call call specifically control create - release handle window close normal win32 wmclose - destroyhandle .net equivalent want destroy window handle - control listen events another object control destroy want stop listen events eg void dispose bool dispose otherobjectevent - myeventhandler
2874,.net c#,built-in method compare collections built-in method compare collections built-in method compare collections would like compare content couple collections equal method dictionary ilist built-in method edit want compare two dictionaries two ilists think equality mean clear - two dictionaries contain key map value equal
2875,sql-server,sql server 2005 one-way replication sql server 2005 one-way replication sql server 2005 one-way replication business work discussion methods reduce read load primary database one option suggest live one-way replication primary database slave database applications would read slave database write directly primary database application read slave application write primary primary update slave automatically major pros con method
2876,.net visual-studio,happen .net framework configuration tool happen .net framework configuration tool happen .net framework configuration tool older versions .net framework use install microsoft .net framework v10 v11 v20 configuration control panel administrative tool notice v30 v35 version functionality hide somewhere else use command-line tool instead
2877,c#,prevent inherit virtual method override subclasses prevent inherit virtual method override subclasses prevent inherit virtual method override subclasses class lay like class public virtual void render class b public override void render prepare object render specialrender cleanup protect virtual void specialrender class c b protect override void specialrender cool stuff possible prevent c class override render method without break follow code obj new c objrender call brender - cspecialrender
2878,visual-studio,visual studio 2005 slow visual studio 2005 slow visual studio 2005 slow slow load anything small project slow quit sometimes take minutes slow open new file record macro feature use useful slow start almost always quicker manually info would helpful big solutions platform 3rd party plugins run else run pc 32ghz p4 hyperthreaded 2gb ram run outlook perforce ie7 directory browsers usually 1-3 instance vs run much slower vc6 say seem take long time load project close interest people know reason happen way vs write use .net internally gc slow
2879,html,image display webkit base browsers image display webkit base browsers image display webkit base browsers strange bizarre reason image website display webkit base languages safari chrome image tag img src imagesdukkahjpg class imgleft display website wont display access directly httpkilkinmassiveatomcomkilkinimagesdukkahjpg
2880,c#,embed flv flash player windows form embed flv flash player windows form embed flv flash player windows form try flv flash player windows form application currently play 1 flv file problems really need able play multiple file anyone experienace use playlists control offer better way
2881,c# .net,dynamic form control dynamic form control dynamic form control use c# 20 best way implement dynamic form control need provide set control per data object manually lay increment top value better way
2882,html javascript,max length html max length html max length html restrict maximum number character enter html textarea look cross-browser solution
2883,python,find mime type file python find mime type file python find mime type file python let say want save bunch file somewhere instance blob let say want dish file via web page client automatically open correct applicationviewer assumption browser figure applicationviewer use mime-type content-type header http response base assumption addition bytes file also want save mime type would find mime type file currently mac also work windows browser add information post file web page neat python library find information webservice even better downloadable database
2884,javascript,undefined handler prototypejs line 3877 undefined handler prototypejs line 3877 undefined handler prototypejs line 3877 niche problem sometimes 30 time get undefined handler javascript error line 3877 prototypejs library version 1602 google httpajaxgoogleapiscomajaxlibsprototype1602prototypejs page google map use prototype window library problem occur ie7 ff3 info firebug give handler undefined prototypejs3871 prototypejs line 3877 handlercall element event switch local version prototypejs add debug offend method createwraper debug never appear error google around find 1 mention error line answer post maybe day someone answer
2885,php,php easy way get first last date month php easy way get first last date month php easy way get first last date month need get first last day month format yyyy-mm-dd give month year good easy way
2886,.net,override webclientprotocoltimeout via webconfig override webclientprotocoltimeout via webconfig override webclientprotocoltimeout via webconfig possible override default value webclientprotocoltimeout property via webconfig httpruntime executiontimeout 500 -- help --
2887,.net,good wpf diagrammer toolkit provider good wpf diagrammer toolkit provider good wpf diagrammer toolkit provider basically need custom diagram component new wpf base application need show textlines link 2d nod custom image apart diagram feature like undoredo align group etc ala visio initial team bite investigation settle winforms northwoods godiagrams suite solution embed wpf application equivalent wpf diagram package yet preferably try ones thank
2888,html,style css radio button label style css radio button label style css radio button label give code bellow style radio button next label style label select radio button differently label link href httpyuiyahooapiscom252buildreset-fonts-gridsreset-fonts-gridscss rel stylesheet link href httpyuiyahooapiscom252buildbasebase-mincss rel stylesheet div class input radio fieldset legendwhat color skylegend input type hide name color value id submitquestion input type radio name color id submitquestion1 value 1 label submitquestion1 strange radient greenlabel input type radio name color id submitquestion2 value 2 label submitquestion2 dark gloomy orangelabel input type radio name color id submitquestion3 value 3 label submitquestion3 perfect glitter bluelabel fieldset div also let state use yui css style base familir find reset-fonts-gridscss base-mincss documentation yahoo ui library pkaeding thank try float thing look mess style active radio button seem doable input typeradio active nomination google search didnt get work properly question guess possible todays modern browsers minimal js need
2889,mysql,updateselect table one query updateselect table one query updateselect table one query need select data page view update view column way one query use distinct query
2890,python,pros con different approach web program python pros con different approach web program python pros con different approach web program python like server-side script use python kind lose number ways start do-it-yourself cgi approach seem end pretty robust frameworks would basically job huge lot stuff like webpy pyroxide django pros con frameworks approach work trade-offs kind project well edit get much experience web program yet would like avoid basic tedious things like parse url parameters etc hand video blog create 15 minutes ruby rail leave impress realize hundreds things hide - cool need write work webapp time great really understand magic - seek
2891,c#,good way overwrite datetimenow test good way overwrite datetimenow test good way overwrite datetimenow test get c# code rely today date correctly calculate things future use today date test repeat calculation test feel right best way set date know value within test test result know value
2892,c# .net,defaultvalue systemdrawingsystemcolors defaultvalue systemdrawingsystemcolors defaultvalue systemdrawingsystemcolors line color property custom grid control want default drawingsystemcolorsinactiveborder try defaultvalue typeof systemdrawingsystemcolors inactiveborder public color linecolor get set seem work default value attribute
2893,sql-server sql,sql profiler sql server 2005 professional edition sql profiler sql server 2005 professional edition sql profiler sql server 2005 professional edition want use sql profiler trace query execute agains database track performance etc however seem sql profiler available enterprise edition sql server 2005 case indeed something
2894,asp.net performance,asp.net mvc performance asp.net mvc performance asp.net mvc performance find wild remark asp.net mvc 30x faster asp.net webforms real performance difference measure performance benefit help consider move asp.net webforms asp.net mvc
2895,c++,vsnet 2005 require build box .net 20 c++ project vsnet 2005 require build box .net 20 c++ project vsnet 2005 require build box .net 20 c++ project build box use cruisecontrol.net build vb.net c# project use msbuild instal box far .net concern .net 20 sdk try keep box clean possible try get c++ app build box problem run header file eg windowsh instal sdk install vs 2005 get work edit couple people answer actually download 35 platform sdk applications build box must run box 35 instal instal 35 sdk 20 build box compromise build box edit go leave unanswered think would add go ahead instal visual studio box well hate want run risk 35 sdk 20 build box would still love hear better solution
2896,performance .net,wpf control performance wpf control performance wpf control performance good preferably simple way test render performance wpf custom control several complex control render performance highly crucial want able make sure lot drawwing designer minimal impact performance
2897,python,modulus operation negative value - weird thing modulus operation negative value - weird thing modulus operation negative value - weird thing please tell much -2 5 accord python interpreter 3 wise explanation read languages result machine-dependent sure though
2898,language-agnostic,method vs message vs function vs method vs message vs function vs method vs message vs function vs recently ask question call method call answer refer message self-taught hobby programmer try phrase question make look like idiot realize terminology use reveal lot learn program distinction various term methodsmessagesetc oo program difference come different program languages use different terminology describe similar concepts seem remember pre-oo languages distinction would sometimes make subroutines function base whether return value expect even language-by-language distinction
2899,windows,sqlite3-ruby gem fail build gem native extension sqlite3-ruby gem fail build gem native extension sqlite3-ruby gem fail build gem native extension update check follow-up question gem update windows - break windows gem install sqlite3-ruby get follow error build native extensions could take error error instal sqlite3-ruby error fail build gem native extension c rubybinrubyexe extconfrb install sqlite3-ruby -- platform win32 check fdatasync rtlib check sqlite3h nmake nmake recognize internal external command operable program batch file gem file remain instal c rubylibrubygems18gemssqlite3-ruby-124 inspection result log c rubylibrubygems18gemssqlite3-ruby-124extsqlite3apigemmakeout thing happen hpricot gem seem remember gems instal fine 10 gems 120 things go screwy also try gem install sqlite3-ruby -- platform win32 needle say work either error anyone know go fix update check follow-up question gem update windows - break
2900,java,convert date string date calendar object convert date string date calendar object convert date string date calendar object string representation date need create date calendar object look date calendar apis find anything create ugly parse method know must way anyone know solution
2901,asp.net html,best populate html table asp.net best populate html table asp.net best populate html table asp.net get work simpler better way aspx page … asp repeater id repeaterbooks runat server headertemplate table class report tr thpublishedth thtitleth thauthorth thpriceth tr headertemplate itemtemplate tr tdasp literal id literalpublished runat server td tdasp literal id literaltitle runat server td tdasp literal id literalauthor runat server td tdasp literal id literalprice runat server td tr itemtemplate footertemplate table footertemplate asp repeater aspxvb code behind … protect sub pageload byval sender object byval e systemeventargs handle meload dim db new bookstoredatacontext repeaterbooksdatasource b dbbooks order bpublished select b repeaterbooksdatabind end sub sub repeaterbooksitemdatabound byval sender object byval e systemwebuiwebcontrolsrepeateritemeventargs handle repeaterbooksitemdatabound eitemitemtype listitemtypeitem eitemitemtype listitemtypealternatingitem dim b book directcast eitemdataitem book directcast eitemfindcontrol literalpublished literal text nobr bpublishedtoshortdatestring nobr directcast eitemfindcontrol literaltitle literal text nobr trynbsp httpcontextcurrentserverhtmlencode btitle nobr directcast eitemfindcontrol literalauthor literal text nobr trynbsp httpcontextcurrentserverhtmlencode bauthor nobr directcast eitemfindcontrol literalprice literal text nobr format bprice c nobr end end sub function trynbsp byval string string return nbsp else return end end function
2902,c#,example c# base rule language example c# base rule language example c# base rule language provide good example rule definition language write c java guy jess anything good c#
2903,java,prefetch oracle sequence id-s distribute environment prefetch oracle sequence id-s distribute environment prefetch oracle sequence id-s distribute environment distribute java application run 5 application servers servers use oracle 9i database run 6th machine application need prefetch batch 100 ids sequence relatively easy single-threaded non-distributed environment issue query select seqnextval dual alter sequence seq increment 100 select seqnextval dual first select fetch first sequence id application use second select return last one use things get way interest multithreaded environment sure second select another thread increase sequence 100 issue solve synchronize access java side - let one thread begin fetch ids one time situation become really hard synchronize part application run jvm even physical machine find reference forums others problems solve problem none answer really work mention reasonable community provide solution problem information really play transaction isolation level use jpa change would affect entire application prefetching query acceptable postgresql could follow select setval seq nextval seq n - 1 solution matthew work use fix increment value perfectly acceptable case however solution want fix size increment want adjust dynamically
2904,javascript,jquery slice click events jquery slice click events jquery slice click events probably really simple jquery question answer 10 minutes documentation list checkboxes get selector input typecheckbox want user able shift-click select range checkboxes accomplish need get index checkbox list pass index slice start end get index user click box
2905,sql-server sql,oracle equivalent sql serversybase datediff oracle equivalent sql serversybase datediff oracle equivalent sql serversybase datediff use nhibernate connect different database base software instal port many sql procedures oracle sql server nice function call datediff take date part startdate enddate date part examples day week month year etc oracle equivalent find one create version update mark harrison several nice answer explain oracle date arithmetic need oracle datediff see einstein answer need keep spme sql script compatible sybase oracle note question apply equally sybase
2906,java,would programmatically create pattern date store string would programmatically create pattern date store string would programmatically create pattern date store string string contain representation date look like thu nov 30 19 00 00 est 2006 try create date object use simpledateformat 2 problems 1 figure pattern hard-code solution simpledateformat constructor 2 find way could parse string use api determine pattern could reuse different pattern date output anyone know solution use api custom solution would greatly appreciate
2907,asp.net visual-studio,web control library use easy form creation many different type input field web control library use easy form creation many different type input field web control library use easy form creation many different type input field create web application require lot different web form user need able input lot different type information mean one form may require text input field integer input field decimal input field date input field datetime input field etc would like maybe javascript-based control library simple provide text label input type default value control library would somehow render form html without create html table select appropriate standard web control use dhtmlxgrid create quite lot table work well need something help similar way create something like card form also find activewidgets look like require lot work behalf look individual web control rather something like library help overall card guess many problem look forward hear solutions find best btw work visualstudio asp.net
2908,database,sid different service name oracle tnsnamesora sid different service name oracle tnsnamesora sid different service name oracle tnsnamesora need two use one another
2909,sql,concatenate string string field postgresql group query concatenate string string field postgresql group query concatenate string string field postgresql group query look way concatenate string field within group query example table id companyid employee 1 1 anna 2 1 bill 3 2 carol 4 2 dave want group companyid get something like companyid employee 1 anna bill 2 carol dave built-in function mysql groupconcat
2910,html,restrict selection select option without disable field restrict selection select option without disable field restrict selection select option without disable field multiple selection select field want end user able change value ui reason would like able without use disable true attribute try use onmousedown onfocus onclick set blur return false success try impossible
2911,sql-server,sql server 2005 temporary table sql server 2005 temporary table sql server 2005 temporary table store procedure temptable create sql server 2005 create query execution plan execute store procedure x 1 begin select 1 text temptable end else begin select 2 text temptable end
2912,visual-studio,resources build visual studio plug-in resources build visual studio plug-in resources build visual studio plug-in like build pretty simple plug-in visual studio really know doable non-managed c++ like know resources recommend
2913,javascript,jquery select css rule class jquery select css rule class jquery select css rule class container contain many components components contain containers turn contain components etc etc give code like container component function container css border 1px solid f00 need add line within brace select nest containers width css set auto sure something simple really use jquery much
2914,.net,target multiple versions .net framework target multiple versions .net framework target multiple versions .net framework suppose code would theory compile version .net framework think hello world like actually compile code though get executable run one particular version way arrange things compile exe run whatever version find strongly suspect answer happy prove wrong edit well go foot stairs idea later frameworks would happily run exe compile earlier versions thank responses
2915,sql-server database,custom aggregate function ms sql server custom aggregate function ms sql server custom aggregate function ms sql server create custom aggregate function ms sql server example would help lot
2916,html,best way add regularly use block code mark textmate best way add regularly use block code mark textmate best way add regularly use block code mark textmate caveat relatively new cod well textmate apologies obvious answer miss lot htmlcss markup certain pattern use lot example form navigation menus etc would like way store pattern insert quickly need way use textmate
2917,javascript,change default title confirm javascript change default title confirm javascript change default title confirm javascript possible modify title message box confirm function open javascript could create modal popup box would like minimalistic possible would like something like confirm content message box modify title default title internet explorer windows internet explorer firefox javascript-program informative though understand browser security stand point able
2918,svn,branch merge easier mercurial subversion branch merge easier mercurial subversion branch merge easier mercurial subversion handle multiple merge onto branch subversion cvs one things experience inordinately easier keep track branch merge mercurial probably distribute system know anyone else know question stem fact mercurial adopt work practice similar subversionscvss central repository everything work fine multiple merge branch win need endless scrap paper commit number tag name know latest version subversion ability track merge branch get quite degree hassle huge major development side still everything development team would like must fundamental difference way work
2919,java c++,propagation oracle transactions c++ java propagation oracle transactions c++ java propagation oracle transactions c++ java exist c++ application go gradually replace new java-based system completely reimplemented everything java expect c++ java communicate rmi soap message etc - decide manager think need java c++ side participate oracle db transaction relate different usual distrbuted transaction problem single process coordinate 2 transactional resources db message queue think propagate transaction across process terrible idea performance stability point-of-view still go ask solution familiar xa transactions work jboss transaction manager google turn anything good propagate xa transaction 2 process use spring java side documentation explicitly state provide help transaction propagation plan use traditional java ee server example ibm websphere may support propagation find definitive documentation help pointers solutions greatly appreciate
2920,sql-server,get definition body trigger sql server get definition body trigger sql server get definition body trigger sql server unable find sql diff tool meet need write informationschema sys table mostly-complete work version one thing find metadata definition trigger know actual sql code overlook something thank thank pete know scott work basic host package allow remote connections db know specs redgate afford anyway whether provide workaround although also api one apex see point invest solution still go require program part solution drop aspx page site act kind schema service return collect metadata xml set little ajax app compare number catalog instance master show diffs perfect major step forward thank
2921,sql-server sql,truncate round decimal place sql server truncate round decimal place sql server truncate round decimal place sql server try determine best way truncate drop extra decimal place sql without round example declare value decimal 182 set value 123456 automatically round value 12346 good case however project need simple way truncate decimals need know use leave function convert back decimal ways
2922,html,strip html tag except link strip html tag except link strip html tag except link try write regular expression strip html exception link href tag respectively 100 secure worry injection attack anything parse content already approve publish swf movie original strip tag regular expression use 124 n try modify 124 n course allow tag rather one begin space really matter case anyone care know write actionscript 30 flash movie
2923,asp.net,microsoft asp.net ajax cause dom object leak microsoft asp.net ajax cause dom object leak microsoft asp.net ajax cause dom object leak use drip try identify page updatepanels tend use lot client-side memory page regular postback see 0 leak detect drip however add update panel mix every single dom object inside update panel appear leak accord drip certain drip reliable enough report kinds things - report leak seem indicate drip modify page slightly anyone experience panic stop use microsoft ajax doubt microsoft seem fishy could bad also know tool better drip would helpful well
2924,python,document module python document module python document module python want document function class put string definition instance def foo function nothing pass module document filepy
2925,.net,best way use property reference key-value pair dictionary best way use property reference key-value pair dictionary best way use property reference key-value pair dictionary fairly trivial matter curious hear people opinions dictionary access properties format would prefer property summary class firstproperty property summary defaultvalue myvalue public string firstproperty get return dictionary mykey set dictionary mykey value probably typical way fairly efficient easy understand etc disadvantage longer complex key would possible misspell change one instance something lead summary class secondproperty property summary defaultvalue myvalue private const string dictmykey mykey public string secondproperty get return dictionary dictmykey set dictionary dictmykey value marginally complicate seem offer additional safety closer would think code complete solution downside also block defaultvalue block property already start get bite crowd like better anybody better ideas
2926,python,invisible watermarks image invisible watermarks image invisible watermarks image insert invisible watermarks image copyright purpose look python library algorithm use performance efficiency
2927,sql-server,sql server alter compute column sql server alter compute column sql server alter compute column anyone know way alter compute column without drop column sql server want stop use column compute column start store data directly column would like retain current value even possible
2928,python,project design fs layout large django project project design fs layout large django project project design fs layout large django project best way layout large django project tutorials provide simple instructions set apps model view less information apps project break much share allowablenecessary apps typical project obviously largely dependent project howwhere general templates keep anyone examples suggestions explanations certain project layout better another particularly interest incorporation large number unit test 2-5x size actual code base string externalization templates
2929,database,database sharding rail database sharding rail database sharding rail best way deal sharded database rail sharding handle application layer active record layer database driver layer proxy layer something else altogether pros con
2930,.net,use reflection find name currently execute method use reflection find name currently execute method use reflection find name currently execute method like title say reflection give name currently execute method incline guess heisenberg problem call method tell current method without change current method hop someone prove wrong update part 2 could use look inside code property well part 3 would performance like final result learn methodbasegetcurrentmethod also learn create stack trace create exact frame need want use inside property take substring 4 remove set get
2931,.net c#,real-time wmv video encode c# real-time wmv video encode c# real-time wmv video encode c# encode video fly send trough network c# find suitable library need encode wmv mind actual encode make c++ long library .net assembly available thank
2932,svn,search subversion history full text search subversion history full text search subversion history full text way perform full text search subversion repository include history example write feature use somewhere need svn rm file need find use something else svn log probably say something like remove unused stuff load checkins like edit 2016-04-15 please note ask term full text search search actual diffs commit history filenames andor commit message point author phrase reflect well - since example might well look filename andor commit message hence lot svn log answer comment
2933,sql,sql select like column two table sql select like column two table sql select like column two table database two table table1 table2 common column columna nvarchar select column table return single column result set look something like columna table1 b c columna table2 e f result set b c e f
2934,javascript,look simple javascript example update dom look simple javascript example update dom look simple javascript example update dom look simple javascript example update dom suggestions
2935,asp.net,best generate csv comma-delimited text file download asp.net best generate csv comma-delimited text file download asp.net best generate csv comma-delimited text file download asp.net get work simpler better way one aspx page get download link asp hyperlink id hyperlinkdownload runat server navigateurl downloadaspx download csv fileasp hyperlink get downloadaspxvb code behind public partial class download inherit systemwebuipage protect sub pageload byval sender object byval e systemeventargs handle meload set header responseclear responsecontenttype textcsv dim filename string bookscsv responseappendheader content-disposition attachment filename filename generate file content dim db new bookdevelopmentdatacontext dim allbooks b dbbooks order badded select b dim csvfile new stringbuilder csvfileappendline csvheader b book allbooks csvfileappendline bookstring b next write file responsewrite csvfiletostring responseend end sub function csvheader string dim csvline new stringbuilder csvlineappend publish csvlineappend title csvlineappend author csvlineappend price return csvlinetostring end function function bookstring byval b book string dim csvline new stringbuilder csvlineappend bpublishedtoshortdatestring csvlineappend btitlereplace csvlineappend bauthorreplace csvlineappend format bprice c replace return csvlinetostring end function end class
2936,xml,good alternative data format xml good alternative data format xml good alternative data format xml xml grant useful quite verbose alternatives specialise particular purpose library support interrogate content easily big plus point
2937,c# performance,difference foreach loop ienumerable class c# difference foreach loop ienumerable class c# difference foreach loop ienumerable class c# tell performance difference follow code block foreach entity e entitylist int i0 ientitylistcount entity e entity entitylist listentity entitylist clr expect tell boil basically code anybody concrete heck take pack dirt evidence one way
2938,java,start learn java use oracle rdbms start learn java use oracle rdbms start learn java use oracle rdbms look advice concentrate efforts get need skills become java developer oracle applications bite confuse lot technologies java world start avoid jdeveloper good ide beginner
2939,.net,.net check run program command line parameters .net check run program command line parameters .net check run program command line parameters get interest case try determine different instance app launch way .net able query another run instance get command line parameters pass instance able find way .net far think check see anyone anything like
2940,windows,cmd default f drive cmd default f drive cmd default f drive open cmd laptop default f drive trouble anyone know get way get back open c drive default
2941,c#,order array like another array c# order array like another array c# order array like another array c# best algorithm take array like 0123 expect order like array b 3102 ideas
2942,php,give hash id key countries value sort alphabetically best way bubble entry top stack give hash id key countries value sort alphabetically best way bubble entry top stack give hash id key countries value sort alphabetically best way bubble entry top stack php example algorithm language would specifically want bubble unite state canada top list example array shorten brevity array 0 -- select -- 1 afghanistan 2 albania 3 algeria 4 american samoa 5 andorra id need stay intact make -1 -2 unfortunately work
2943,c#,differences string compare methods c# differences string compare methods c# differences string compare methods c# compare string c# pretty simple fact several ways list block curious differences one use others one avoid cost list string teststring test string anotherstring another teststringcompareto anotherstring 0 teststringequals anotherstring teststring anotherstring note look equality example less greater feel free comment well
2944,c#,prefer way implement visitor pattern dynamic languages prefer way implement visitor pattern dynamic languages prefer way implement visitor pattern dynamic languages exercise translate sample program various languages start c# visitor-pattern interface like interface visitor void accept bedroom x void accept bathroom x void accept kitchen x void accept livingroom x move ruby python whatever longer get dispatch compiler base type dispatch visitor class cleaner def accept x acceptbedroom x bedroom x acceptbathroom x bathroom x acceptkitchen x kitchenx acceptlivingroom x livingroomx end dispatch different specializaions room class bathroomroom def initialize name super name end def accept visitor visitoracceptbathroom self end end another prefer idiom use dynamic languages
2945,performance,best keyboard macros program windows best keyboard macros program windows best keyboard macros program windows like put shortcuts form g - googlelnk start menu google two keystrokes away win g eight frequent applications go also make link solution file always open x - popular projectlnk better ways automate open frequently use applications
2946,javascript asp.net,get current location iframe get current location iframe get current location iframe build basic data entry application allow users browse external content iframe enter data quickly page one data variables url ideally would like able load iframes current url textbox javascript realize go happen due security issue anyone anything server side know .net browser browser control ultimate goal give user easy method extract url page view iframe necessarily iframe browser browser would ideal thank adam
2947,database,blob storage - 100 gb mysql sqlite postgresql python blob storage - 100 gb mysql sqlite postgresql python blob storage - 100 gb mysql sqlite postgresql python idea simple application monitor group folders index file find gui allow quickly tag new file move single database storage also provide easy mechanism query db tag name file type date moment 100 gb file couple removable hard drive database least big possible would like support full text search embed binary text document single user application try start db war open source db go work best pretty sure sqllite table could wrong
2948,sql-server,add alternate row color sql server report service report add alternate row color sql server report service report add alternate row color sql server report service report shade alternate row sql server report service report edit bunch good answer list -- quick simple complex comprehensive alas choose one
2949,c#,read email use pop3 c# read email use pop3 c# read email use pop3 c# look method read email use pop3 c# 20 currently use code find codeproject however solution less ideal biggest problem support email write unicode
2950,asp.net,prevent replay attack prevent replay attack prevent replay attack relate another question ask summary special case url form post rely cookies authentication maintain user session somehow need know need know log think come solution problem need flesh think create hide form field call username place within user username encrypt form post even though receive cookies browser know log decrypt hide form field get username major security flaw see replay attack prevent someone get ahold encrypt string post user know use ssl make harder steal string maybe rotate encryption key regular basis limit amount time string good really like find bulletproof solution anybody ideas asp.net viewstate prevent replay edit hop solution require anything store database application state would okay except win survive iis restart work web farm garden scenario accept chris answer convince even possible secure without database someone come answer involve database accept
2951,java,reference javadocs dependencies maven eclipse plugin javadoc attach dependency reference javadocs dependencies maven eclipse plugin javadoc attach dependency reference javadocs dependencies maven eclipse plugin javadoc attach dependency use eclipse maven java development use maven download dependencies jar file javadoc available maven eclipse plug-in generate project classpath file eclipse dependency download attach javadoc manually add link javadoc classpath file see javadoc dependency eclipse run maven eclipse plugin regenerate classpath file course wipe change way configure maven eclipse plug-in automatically add classpath attribute javadoc run maven eclipse plug-in interest answer javadoc andor source provide dependency maven repository case often use downloadsources andor downloadjavadocs properties win help problem
2952,javascript,catch button click javascript without server interaction catch button click javascript without server interaction catch button click javascript without server interaction get sign form require user enter email password two separate text box want provide button user click password mask appear popup user click button currently javascript code follow function toggleshowpassword var button get passwordtextboxid var password button password buttonvalue alert password buttonvalue password problem every time user click button password clear firefox ie want able see password clear text verify without retype password question password field keep get reset button click make password field clear user see hisher password clear text
2953,c#,c# .net 35 code replace file extension use linq c# .net 35 code replace file extension use linq c# .net 35 code replace file extension use linq write simple function replace file extension use linq cnet 35 however feel elegant way commit use linq - look elegant approach ideas private string replacefileextension string filename string newextension string dotsplit filenamesplit return stringjoin dotsplittake dotsplitlength - 1 toarray newextension aware fact win work original file name dot
2954,c#,generate random number c# generate random number c# generate random number c# would like generate random float point number 2 value best way c#
2955,c# asp.net,outlook email via webpage outlook email via webpage outlook email via webpage web application develop asp.net c# run company intranet users application use microsoft outlook without exception would like application open outlook message client-side understand office design run desktop server however trouble create word excel document client-side code instantiate outlook object use microsoftofficeinteropoutlook namespace outlook instal server try run code server get dcom source error message state machine-default permission settings grant local activation permission com server application clsid 000c101c-0000-0000-c000-000000000046 user security permission modify use component service administrative tool modify permissions use component service tool still get error way overcome fruitless exercise outlook cannot open client side server-side code mailto work due extreme length email obtain also user send need add eye-candy text recipients
2956,database sql,best way insertupdatedelete multiple record database application best way insertupdatedelete multiple record database application best way insertupdatedelete multiple record database application give small set entities say 10 fewer insert delete update application best way perform necessary database operations multiple query issue one entity affect sort xml construct parse database engine use one command need issue ask common pattern current shop seem format xml document contain change send string database process database engine xml functionality however use xml way seem rather cumbersome give simple nature task perform
2957,visual-studio,get clickonce publish version match assemblyinfocs file version get clickonce publish version match assemblyinfocs file version get clickonce publish version match assemblyinfocs file version every time publish application clickonce get get update revision number one way get change automatically change version number assemblyinfocs file error report look assembly version
2958,c#,way generate wmi codeclasses way generate wmi codeclasses way generate wmi codeclasses generate c# class access wmi
2959,html,best way send htmlimage email best way send htmlimage email best way send htmlimage email attach image use absolute urls best avoid get flag spam
2960,svn,simultaneously work version 11 version 20 simultaneously work version 11 version 20 simultaneously work version 11 version 20 situation beta version 10 release several customer sit team already busy work version 11 incremental bugfixes usability tweak another team work version 20 large-scale change core product may completely redesign change make 11 make way 20 point bug fix make 20 branch might fact need schedule earlier release problem since 20 fundamental differences change 11 merge without manual conversion vice versa question best revision control practise minimise merge conflict duplicate work kind situation ensure team spend little time effort possible revision control issue still provide regular patch customers
2961,c,octal number literals ever octal number literals ever octal number literals ever never use octal number code come across code use hexadecimal bite twiddle notwithstanding start program cc 1994 maybe young older code use octal c include support prepending 0 code use base 8 number literals
2962,svn,convince company switch source control convince company switch source control convince company switch source control current place employment currently transition new ownership take things finally get standardize proper guidelines enforce still use vss really reason use whats initially setup use visual studio tool really specifically require would absolute best argument bring help convince go something like subversion would much better solution long run
2963,.net,.net development mac tip .net development mac tip .net development mac tip get macbook pro use fusion develop month purpose question similar hide feature c# become how-to tip trick windows development mac clarify aware boot camp use interest hence use steady state make sure nothing happen os partition without knowledge however sara point apple make great hardware absolutely love form factor mbp someone look windows laptop mac boot camp overlook hardware amaze environment follow macbook pro 15 24ghz 2gb ram go upgrade 4gb soon vmware fusion 20 beta windows xp pro sp3 slipstreamed install tip use windows steady state keep os consistent use svnssh connect mac small repositories use time machine backup use space
2964,.net,start use ndepend start use ndepend start use ndepend recently download ndepend run analysis open source project participate look next - bite visual information overload turn even know start anyone suggest start point information look first point problems code big way would low hang fruit immediately see
2965,c#,good method c# throw exception give thread good method c# throw exception give thread good method c# throw exception give thread code want write like void methodonthreada stuff errorconditionmet throwonthread threadb new myexception void methodonthreadb try stuff catch myexception ex right thing exception know thread b periodically check thread safe way see flag set thread make code complicate better mechanism use flesh example periodically check dictionarythread exception exceptiondictionary new dictionarythread exception void throwonthread thread thread exception ex exception pass go hand another thread need thread safe lock exceptiondictionary exceptiondictionary thread ex void exceptioncheck lock exceptiondictionary exception ex exceptiondictionarytrygetvalue threadcurrentthread ex throw ex void methodonthreada stuff errorconditionmet throwonthread threadb new myexception void methodonthreadb try stuff exceptioncheck catch myexception ex right thing exception
